,I_BOOKINGDATE,I_STARTDATE,I_DAYSBEFOREBOOK,STOCK_CODE,STOCK_NAME,I_TOTAL_SALES_SC,SOURCE_COUNTRY_CODE,ADT,CHD,INF,LEAD_PAX_AGE,prec,tmax,dir,velmedia,sol,presMax,i_booking_dayofweek,i_start_dayofweek,i_avg_sales
13493,2019-01-08,2019-02-08,1,XESTCIBO3U,Loro Express Exclusive,206,GB,4,0,0,49.0,0.0,23.3,99.0,6.4,7.7,1015.4,1,4,51.5
12656,2019-07-26,2019-01-08,6,PESTCI4HYM,Jeep Safari Teide Masca Sur,108,LU,2,0,0,51.0,0.0,29.2,6.0,9.2,12.3,1009.5,4,1,54.0
13627,2019-02-08,2019-06-08,4,XESTCIB4FU,Teide National Park,92,GB,3,1,0,57.0,0.0,19.1,6.0,4.4,12.9,1010.7,4,5,23.0
8566,2019-12-06,2019-06-14,2,PESTCI4FXQ,Mts. Inselrundfahrt - Tour de Ile,108,GB,2,0,0,37.0,0.0,24.1,6.0,3.9,7.3,1011.6,4,4,54.0
2785,2019-02-25,2019-11-03,14,XESTCIBSBI,Mts. Teide South,50,FI,2,0,0,48.794693,0.0,31.1,99.0,11.4,10.2,1008.9,0,6,25.0
12833,2019-07-27,2019-07-30,3,PESTCI4IGS,Teleferico / Cable Car,81,GB,2,2,0,40.0,0.0,27.6,7.0,9.2,11.4,1009.7,5,1,20.25
18209,2019-09-14,2019-09-16,2,XESTCIBCSG,Teide Masca (Grand Tour),72,GB,2,0,0,28.0,0.0,29.8,99.0,6.4,11.9,1010.2,5,0,36.0
4471,2019-03-23,2019-03-24,0,PESTCI4FNG,Royal Delfin,110,GB,2,0,0,25.0,0.0,22.6,6.0,9.7,11.1,1007.4,5,6,55.0
23786,2019-11-26,2019-11-28,2,XESTCIB4FU,Teide National Park,52,GB,2,0,0,55.0,0.0,22.0,8.0,4.4,9.9,1005.6,1,3,26.0
9347,2019-06-22,2019-06-23,1,PESTCI4IJM,Twin Tickets,132,CZ,2,0,0,48.794693,0.0,25.3,18.0,3.6,12.8,1005.7,5,6,66.0
10103,2019-01-07,2019-05-07,4,XESTCIBCSG,Teide Masca (Grand Tour),72,GB,2,0,0,56.0,0.0,23.2,9.0,5.8,7.2,1017.3,0,1,36.0
7208,2019-05-26,2019-05-29,3,PESTCI4FN8,Submarino Safari,85,GB,1,1,0,35.0,0.0,26.0,99.0,6.7,12.8,1007.7,6,2,42.5
